n, time_ns, comparisons, allocations, max_recursion_depth
8030, 294600, 71147, 132, 9
8040, 296000, 71736, 121, 10
8050, 297900, 81534, 127, 9
8060, 289800, 72851, 128, 9
8070, 308800, 77370, 151, 9
8080, 284100, 73392, 112, 8
8090, 285100, 70295, 115, 9
8100, 295100, 76518, 126, 10
8110, 320000, 76092, 157, 8
8120, 252700, 63312, 76, 8
8130, 306200, 76137, 154, 9
8140, 301500, 81213, 142, 9
8150, 299900, 75004, 124, 10
8160, 316400, 79174, 160, 9
8170, 319400, 79879, 163, 8
8180, 309800, 75536, 155, 9
8190, 316100, 83548, 155, 10
8200, 305300, 73287, 137, 9
8210, 290900, 72223, 129, 8
8220, 312100, 79358, 147, 10
8230, 306800, 76566, 135, 9
