n, time_ns, comparisons, allocations, max_recursion_depth
4670, 1187300, 61836, 36760, 7
4680, 1156200, 62909, 37673, 8
4690, 1059800, 64577, 40000, 8
4700, 1120400, 68319, 41137, 8
4710, 1142400, 69389, 40789, 8
4720, 968100, 64161, 42399, 7
4730, 940800, 66028, 38880, 7
4740, 720200, 68747, 38856, 8
4750, 762100, 64909, 40820, 8
4760, 697400, 63985, 36490, 8
4770, 800100, 68746, 39189, 8
4780, 1016600, 64763, 43270, 7
4790, 729100, 66754, 41650, 7
4800, 725800, 64655, 41892, 7
4810, 755000, 69026, 43246, 8
4820, 657400, 63253, 37737, 8
4830, 737600, 62844, 37890, 8
4840, 649200, 72116, 39777, 8
4850, 618100, 66717, 39662, 8
4860, 753000, 67017, 41122, 8
4870, 723500, 70155, 44732, 7
4880, 599700, 68269, 39447, 8
4890, 564800, 71956, 44400, 7
4900, 591700, 74254, 45721, 7
4910, 599000, 73746, 40120, 7
4920, 553700, 68671, 37237, 7
4930, 559900, 66915, 41701, 8
4940, 571000, 68224, 40835, 8
4950, 548600, 67686, 41033, 8
4960, 555700, 66383, 39856, 8
4970, 604400, 72181, 43797, 7
4980, 490900, 76533, 48764, 7
4990, 472900, 71984, 41915, 8
5000, 484100, 69488, 39075, 7
5010, 385300, 70827, 40759, 8
5020, 359400, 72274, 38623, 7
5030, 368300, 69450, 42735, 8
5040, 360400, 69110, 39088, 8
5050, 369900, 71006, 43798, 8
5060, 385400, 75099, 52920, 7
5070, 365900, 72664, 44112, 8
5080, 373600, 74103, 44792, 7
5090, 458800, 71785, 42453, 8
5100, 385700, 70898, 40236, 8
5110, 378300, 74148, 39255, 8
5120, 495800, 75960, 47027, 8
5130, 475500, 72765, 41986, 8
5140, 410800, 67944, 42234, 9
5150, 376900, 67783, 40706, 8
5160, 372500, 75911, 45015, 8
5170, 386100, 78302, 49290, 7
5180, 412100, 70479, 42259, 8
5190, 372800, 71985, 39671, 7
5200, 373800, 78130, 42405, 8
5210, 381200, 77151, 44231, 8
5220, 384000, 80070, 47771, 8
5230, 361100, 75940, 43161, 8
5240, 417500, 73077, 40629, 8
5250, 374400, 76298, 43349, 8
5260, 376500, 74039, 46337, 8
5270, 380100, 71098, 44190, 8
5280, 382100, 76489, 44616, 8
5290, 428100, 72724, 46551, 8
5300, 432500, 75288, 48161, 8
5310, 402500, 72624, 45036, 7
5320, 486100, 82303, 51626, 8
5330, 462600, 73762, 42991, 8
5340, 392600, 85802, 55858, 7
5350, 382800, 77608, 47105, 8
5360, 692000, 77070, 50458, 8
5370, 524400, 80105, 51489, 7
5380, 493300, 76051, 49459, 8
5390, 508300, 73404, 43293, 8
5400, 489200, 76599, 45279, 8
5410, 436800, 73782, 46303, 8
5420, 503200, 78683, 50452, 8
5430, 407400, 85441, 52462, 7
5440, 423400, 74805, 43202, 8
5450, 510000, 77921, 48051, 8
5460, 458100, 75673, 46655, 8
5470, 513300, 75719, 47904, 8
5480, 399700, 78419, 45059, 8
5490, 455800, 85557, 53226, 8
5500, 474300, 77031, 43456, 8
5510, 423000, 79413, 50172, 8
5520, 440700, 75278, 44879, 9
5530, 521700, 89782, 49034, 7
5540, 419000, 83213, 42651, 9
5550, 470000, 78246, 48528, 7
5560, 505500, 81444, 48524, 8
5570, 437200, 89144, 48632, 8
5580, 411900, 78789, 52478, 8
5590, 418400, 76476, 47753, 8
5600, 405800, 78908, 50100, 8
5610, 411600, 75175, 47535, 8
5620, 429800, 78435, 44984, 8
5630, 464700, 78492, 48742, 8
5640, 560200, 83364, 49184, 8
5650, 548900, 84712, 49175, 8
5660, 570300, 84662, 46942, 8
5670, 612700, 80373, 44835, 8
5680, 580500, 81848, 50315, 8
5690, 429400, 82268, 48100, 8
5700, 408700, 86375, 49116, 7
5710, 406800, 82723, 45131, 8
5720, 413400, 78378, 48574, 8
5730, 519800, 79922, 49415, 8
5740, 462800, 86093, 48817, 8
5750, 418100, 79831, 47388, 8
5760, 421700, 84963, 52345, 8
5770, 534300, 85478, 48050, 8
5780, 525700, 79234, 51471, 8
5790, 466100, 80139, 49156, 8
5800, 523900, 81061, 48123, 8
5810, 435500, 89844, 55888, 8
5820, 436300, 85392, 46404, 8
5830, 603500, 82641, 47975, 8
5840, 467400, 79374, 46771, 8
5850, 492000, 83571, 49191, 8
5860, 492000, 87974, 53296, 7
5870, 513100, 79815, 44553, 9
5880, 428300, 81609, 47328, 8
5890, 443500, 87439, 53917, 8
5900, 450200, 82050, 49511, 9
5910, 467400, 84414, 55272, 9
5920, 433400, 82334, 49742, 8
5930, 427900, 83654, 47707, 9
5940, 571100, 88888, 57687, 8
5950, 604000, 88067, 53545, 8
5960, 463000, 92682, 54483, 8
5970, 437700, 90360, 58037, 8
5980, 428100, 87421, 53699, 7
5990, 436000, 82486, 46770, 8
6000, 576300, 86561, 51088, 8
6010, 504700, 89042, 45541, 8
6020, 439900, 92162, 47894, 8
6030, 451000, 84289, 49632, 9
6040, 600900, 89353, 52461, 8
6050, 577600, 94746, 50868, 8
6060, 596400, 85807, 59207, 8
6070, 561200, 90538, 53283, 7
6080, 578300, 92086, 48550, 8
6090, 585100, 84122, 50409, 9
6100, 462700, 90983, 54036, 7
6110, 463100, 98753, 60573, 8
6120, 441800, 99302, 48974, 7
6130, 458100, 84439, 50745, 8
6140, 463200, 95130, 57947, 8
6150, 442600, 92523, 55256, 8
6160, 446400, 88943, 50017, 8
6170, 448700, 96770, 63203, 8
6180, 460100, 88197, 55961, 9
6190, 519900, 88952, 53683, 8
6200, 475700, 89455, 51319, 9
6210, 518000, 88308, 51318, 8
6220, 633000, 86222, 54492, 8
6230, 478500, 88728, 52309, 8
6240, 556000, 90845, 55476, 8
6250, 607600, 96839, 65570, 8
6260, 470200, 90490, 53942, 8
6270, 450600, 95308, 55152, 7
6280, 544700, 88789, 56191, 8
6290, 449500, 93182, 55382, 8
6300, 463900, 93001, 54376, 9
